/DIM/ 41.0000	41.0000	41.0000
/MID/ -8.0000	3.0000	-21.0000
/SPACING/ 0.5000
/COM/ -13.3779	1.2274	-17.6977
/ORI/ -0.4757	27.8344	-22.7576	1
/RAY/ 1.3199	-2.1093	35.2747	1
/RAY/ 1.3062	-2.1093	35.4022	1
/RAY/ 1.2926	-2.1093	35.5362	1
/RAY/ 1.2792	-2.1093	35.6767	1
/RAY/ 1.2658	-2.1093	35.8237	1
/RAY/ 1.2525	-2.1093	35.9770	1
/RAY/ 1.2394	-2.1093	36.1366	1
/RAY/ 1.5780	-2.1169	33.7429	1
/RAY/ 1.3308	-2.1169	34.7378	1
/RAY/ 1.5781	-2.1247	33.3167	1
/RAY/ 1.3420	-2.1247	34.2070	1
/RAY/ 1.3278	-2.1247	34.3239	1
/RAY/ 1.5782	-2.1327	32.8925	1
/RAY/ 1.3392	-2.1327	33.7940	1
/RAY/ 1.5783	-2.1409	32.4705	1
/RAY/ 1.5629	-2.1409	32.4706	1
/RAY/ 1.3363	-2.1409	33.3834	1
/RAY/ 1.5628	-2.1493	32.0508	1
/RAY/ 1.5472	-2.1493	32.0587	1
/RAY/ 1.3333	-2.1493	32.9753	1
/RAY/ 1.5469	-2.1580	31.6414	1
/RAY/ 1.3303	-2.1580	32.5697	1
/RAY/ 1.5465	-2.1668	31.2265	1
/RAY/ 1.5305	-2.1668	31.2426	1
/RAY/ 1.5146	-2.1668	31.2667	1
/RAY/ 1.3272	-2.1668	32.1667	1
/RAY/ 1.5138	-2.1759	30.8549	1
/RAY/ 1.4976	-2.1759	30.8874	1
/RAY/ 1.4815	-2.1759	30.9280	1
/RAY/ 1.3241	-2.1759	31.7666	1
/RAY/ 1.3089	-2.1759	31.8923	1
/RAY/ 1.4803	-2.1853	30.5197	1
/RAY/ 1.4640	-2.1853	30.5690	1
/RAY/ 1.4478	-2.1853	30.6263	1
/RAY/ 1.4316	-2.1853	30.6916	1
/RAY/ 1.3055	-2.1853	31.4966	1
/RAY/ 1.2903	-2.1853	31.6314	1
/RAY/ 1.4298	-2.1949	30.2885	1
/RAY/ 1.4135	-2.1949	30.3628	1
/RAY/ 1.3972	-2.1949	30.4452	1
/RAY/ 1.2867	-2.1949	31.2404	1
/RAY/ 1.4113	-2.2048	29.9636	1
/RAY/ 1.3949	-2.2048	30.0470	1
/RAY/ 1.3786	-2.2048	30.1385	1
/RAY/ 1.3623	-2.2048	30.2380	1
/RAY/ 1.2830	-2.2048	30.8525	1
/RAY/ 1.3596	-2.2149	29.8455	1
/RAY/ 1.3432	-2.2149	29.9543	1
/RAY/ 1.3110	-2.2149	30.1956	1
/RAY/ 1.2950	-2.2149	30.3279	1
/RAY/ 1.2792	-2.2149	30.4679	1
/RAY/ 1.3402	-2.2254	29.5665	1
/RAY/ 1.3238	-2.2254	29.6848	1
/RAY/ 1.3075	-2.2254	29.8109	1
/RAY/ 1.2914	-2.2254	29.9449	1
/RAY/ 1.2754	-2.2254	30.0867	1
/RAY/ 1.2523	-2.0685	37.5488	1
/RAY/ 1.2806	-2.0893	35.8488	1
/RAY/ 1.5927	-2.0966	33.9247	1
/RAY/ 1.3181	-2.0966	35.0290	1
/RAY/ 1.3043	-2.0966	35.1573	1
/RAY/ 1.2907	-2.0966	35.2923	1
/RAY/ 1.2771	-2.0966	35.4338	1
/RAY/ 1.2637	-2.0966	35.5818	1
/RAY/ 1.2503	-2.0966	35.7361	1
/RAY/ 1.2371	-2.0966	35.8967	1
/RAY/ 1.5930	-2.1041	33.4933	1
/RAY/ 1.5780	-2.1041	33.4860	1
/RAY/ 1.3290	-2.1041	34.4882	1
/RAY/ 1.3150	-2.1041	34.6114	1
/RAY/ 1.5933	-2.1118	33.0639	1
/RAY/ 1.5781	-2.1118	33.0564	1
