/DIM/ 29.0000	29.0000	29.0000
/MID/ -15.0000	1.0000	-17.0000
/SPACING/ 0.5000
/COM/ -14.9596	2.0025	-17.5101
/ORI/ 1.0371	26.8016	-22.9057	1
/RAY/ 1.4441	-2.2996	34.8689	1
/RAY/ 1.4299	-2.2996	34.9356	1
/RAY/ 1.4158	-2.2996	35.0093	1
/RAY/ 1.4017	-2.2996	35.0900	1
/RAY/ 1.3877	-2.2996	35.1776	1
/RAY/ 1.6028	-2.3094	34.2356	1
/RAY/ 1.5882	-2.3094	34.2232	1
/RAY/ 1.5736	-2.3094	34.2182	1
/RAY/ 1.4716	-2.3094	34.3871	1
/RAY/ 1.4571	-2.3094	34.4403	1
/RAY/ 1.4427	-2.3094	34.5005	1
/RAY/ 1.4284	-2.3094	34.5680	1
/RAY/ 1.4141	-2.3094	34.6424	1
/RAY/ 1.3999	-2.3094	34.7240	1
/RAY/ 1.3857	-2.3094	34.8125	1
/RAY/ 1.3717	-2.3094	34.9080	1
/RAY/ 1.6031	-2.3193	33.8677	1
/RAY/ 1.5884	-2.3193	33.8553	1
/RAY/ 1.5736	-2.3193	33.8502	1
/RAY/ 1.5588	-2.3193	33.8525	1
/RAY/ 1.5440	-2.3193	33.8622	1
/RAY/ 1.4852	-2.3193	33.9745	1
/RAY/ 1.4705	-2.3193	34.0209	1
/RAY/ 1.4559	-2.3193	34.0746	1
/RAY/ 1.4414	-2.3193	34.1356	1
/RAY/ 1.4269	-2.3193	34.2037	1
/RAY/ 1.3981	-2.3193	34.3614	1
/RAY/ 1.3838	-2.3193	34.4508	1
/RAY/ 1.3695	-2.3193	34.5473	1
/RAY/ 1.5587	-2.3295	33.4879	1
/RAY/ 1.5438	-2.3295	33.4977	1
/RAY/ 1.5288	-2.3295	33.5149	1
/RAY/ 1.4991	-2.3295	33.5717	1
/RAY/ 1.4842	-2.3295	33.6113	1
/RAY/ 1.4694	-2.3295	33.6582	1
/RAY/ 1.4547	-2.3295	33.7124	1
/RAY/ 1.3818	-2.3295	34.0926	1
/RAY/ 1.3674	-2.3295	34.1901	1
/RAY/ 1.5435	-2.3399	33.1367	1
/RAY/ 1.5284	-2.3399	33.1542	1
/RAY/ 1.5133	-2.3399	33.1791	1
/RAY/ 1.4983	-2.3399	33.2116	1
/RAY/ 1.4833	-2.3399	33.2516	1
/RAY/ 1.4683	-2.3399	33.2990	1
/RAY/ 1.3944	-2.3399	33.6467	1
/RAY/ 1.3798	-2.3399	33.7380	1
/RAY/ 1.3653	-2.3399	33.8365	1
/RAY/ 1.2527	-2.3399	34.8734	1
/RAY/ 1.2392	-2.3399	35.0330	1
/RAY/ 1.2257	-2.3399	35.1990	1
/RAY/ 1.2124	-2.3399	35.3712	1
/RAY/ 1.1993	-2.3399	35.5497	1
/RAY/ 1.5279	-2.3505	32.7971	1
/RAY/ 1.5127	-2.3505	32.8223	1
/RAY/ 1.4975	-2.3505	32.8551	1
/RAY/ 1.4823	-2.3505	32.8955	1
/RAY/ 1.3925	-2.3505	33.2949	1
/RAY/ 1.3777	-2.3505	33.3872	1
/RAY/ 1.3631	-2.3505	33.4867	1
/RAY/ 1.2772	-2.3505	34.2315	1
/RAY/ 1.2633	-2.3505	34.3795	1
/RAY/ 1.2495	-2.3505	34.5341	1
/RAY/ 1.2358	-2.3505	34.6953	1
/RAY/ 1.5121	-2.3613	32.4692	1
/RAY/ 1.4967	-2.3613	32.5024	1
/RAY/ 1.4814	-2.3613	32.5432	1
/RAY/ 1.3906	-2.3613	32.9469	1
/RAY/ 1.3757	-2.3613	33.0402	1
/RAY/ 1.3609	-2.3613	33.1407	1
/RAY/ 1.3027	-2.3613	33.6144	1
/RAY/ 1.2884	-2.3613	33.7504	1
/RAY/ 1.2742	-2.3613	33.8931	1
/RAY/ 1.2602	-2.3613	34.0426	1
/RAY/ 1.3886	-2.3724	32.6028	1
/RAY/ 1.3736	-2.3724	32.6971	1
/RAY/ 1.3587	-2.3724	32.7987	1
/RAY/ 1.2999	-2.3724	33.2773	1
/RAY/ 1.2855	-2.3724	33.4146	1
/RAY/ 1.3564	-2.3837	32.4608	1
/RAY/ 1.3414	-2.3837	32.5709	1
/RAY/ 1.3265	-2.3837	32.6882	1
/RAY/ 1.3117	-2.3837	32.8127	1
/RAY/ 1.2971	-2.3837	32.9443	1
/RAY/ 1.4270	-2.2985	34.2368	1
/RAY/ 1.4126	-2.2985	34.3120	1
/RAY/ 1.3982	-2.2985	34.3943	1
/RAY/ 1.6034	-2.3084	33.5296	1
/RAY/ 1.5885	-2.3084	33.5170	1
/RAY/ 1.5736	-2.3084	33.5119	1
/RAY/ 1.5587	-2.3084	33.5142	1
/RAY/ 1.4548	-2.3084	33.7386	1
/RAY/ 1.4401	-2.3084	33.8001	1
/RAY/ 1.4254	-2.3084	33.8689	1
/RAY/ 1.4109	-2.3084	33.9450	1
/RAY/ 1.3964	-2.3084	34.0282	1
/RAY/ 1.3819	-2.3084	34.1185	1
/RAY/ 1.6038	-2.3185	33.1615	1
/RAY/ 1.5887	-2.3185	33.1488	1
/RAY/ 1.5736	-2.3185	33.1436	1
/RAY/ 1.5586	-2.3185	33.1459	1
/RAY/ 1.5435	-2.3185	33.1558	1
/RAY/ 1.4684	-2.3185	33.3180	1
/RAY/ 1.4535	-2.3185	33.3728	1
/RAY/ 1.4386	-2.3185	33.4350	1
/RAY/ 1.4238	-2.3185	33.5045	1
/RAY/ 1.4091	-2.3185	33.5814	1
/RAY/ 1.3945	-2.3185	33.6655	1
/RAY/ 1.3799	-2.3185	33.7568	1
/RAY/ 1.5737	-2.3289	32.7787	1
/RAY/ 1.5584	-2.3289	32.7811	1
/RAY/ 1.5432	-2.3289	32.7911	1
/RAY/ 1.5279	-2.3289	32.8087	1
/RAY/ 1.4824	-2.3289	32.9071	1
/RAY/ 1.4673	-2.3289	32.9550	1
/RAY/ 1.4522	-2.3289	33.0105	1
